,Data1AIC,Data2AIC
1,40.5521434281161,42.680831211517
2,44.8743973840867,45.4888877931871
3,43.8206382579196,44.9905925045155
4,40.8144365762277,43.1416462704249
5,42.563790212905,46.53563584065
6,44.6405246895751,44.1693723390549
7,43.0724063965597,45.2247329448972
8,42.01467037707,44.7992596114024
9,40.4027746778983,42.1186649956654
10,42.3866208865561,44.0162194340465
11,45.5672533533538,49.5081881068643
12,43.4410537890917,47.3719087797176
13,36.4767132209244,38.2194410689352
14,43.1010868350982,46.9551070616063
15,41.1302990214075,44.9965958148389
16,38.7296735995913,41.9450926063357
17,38.7717590913425,40.2353457775965
18,42.237857920495,46.0017938878852
19,38.0661235124307,41.6338208282278
20,42.1285582334203,45.9983487572703
21,41.130338250515,45.0987205653917
22,40.3255451447906,41.7895161786223
23,41.1065242212924,43.1278743458446
24,46.4435874168802,50.3668174489594
25,38.6218632863508,41.6223696444492
26,42.1271824065287,44.7188901780151
27,42.2858412958279,46.2241503688481
28,42.6281449023604,43.5978407989691
29,40.4184293958651,44.2328943201049
30,42.495138905708,44.9486267566634
31,39.5961497960362,43.5924786084506
32,40.7745644067772,44.1753243440836
