,x
One Rate Model1,41.3285667749726
One Rate Model2,37.7978338800039
One Rate Model3,40.7259193921071
One Rate Model4,40.9956586473485
One Rate Model5,38.4893870084961
One Rate Model6,40.2078684898189
One Rate Model7,45.4853253437437
One Rate Model8,40.9401920678054
One Rate Model9,36.9325820489586
One Rate Model10,40.350427109065
One Rate Model11,37.8340190764943
One Rate Model12,37.3605815989633
One Rate Model13,42.6973206457999
One Rate Model14,37.5494838786972
One Rate Model15,39.3510795378625
One Rate Model16,40.1896963530265
One Rate Model17,39.7145879369431
One Rate Model18,42.0443908886717
One Rate Model19,38.6992214648001
One Rate Model20,40.9483225381889
One Rate Model21,42.6622219693708
One Rate Model22,40.9060547246647
One Rate Model23,38.4335667807881
One Rate Model24,37.813248486014
One Rate Model25,37.0666116349927
One Rate Model26,39.712634743787
One Rate Model27,40.4413962264068
One Rate Model28,40.0761981747737
One Rate Model29,40.7104736086167
One Rate Model30,36.1495516032818
One Rate Model31,37.8500585283678
One Rate Model32,42.0314139093747
Two Rate Model1,41.59557563644
Two Rate Model2,40.9512409726369
Two Rate Model3,44.7259193925366
Two Rate Model4,40.2550890616866
Two Rate Model5,42.3478026163881
Two Rate Model6,44.0651695657038
Two Rate Model7,49.3961925407615
Two Rate Model8,44.0790469735315
Two Rate Model9,40.0813498236461
Two Rate Model10,43.9826841248833
Two Rate Model11,41.5156704378945
Two Rate Model12,40.6268285254885
Two Rate Model13,43.7794532209054
Two Rate Model14,40.4838400134145
Two Rate Model15,42.289564089452
Two Rate Model16,42.570115490495
Two Rate Model17,43.2199744602425
Two Rate Model18,44.3656273317819
Two Rate Model19,42.0100668015007
Two Rate Model20,45.1259727709368
Two Rate Model21,43.0939661269061
Two Rate Model22,41.4424410488996
Two Rate Model23,41.4794280199429
Two Rate Model24,41.331753848437
Two Rate Model25,40.6423584684975
Two Rate Model26,43.3904302358923
Two Rate Model27,43.9892453674975
Two Rate Model28,42.8325880720499
Two Rate Model29,44.7104735826476
Two Rate Model30,39.2652201272287
Two Rate Model31,41.6061775212962
Two Rate Model32,44.8623934293977
